word,i,j,k,l,m
AAHED,0,0,7,4,3
AALII,0,0,11,8,8
AARGH,0,0,17,6,7
AARTI,0,0,17,19,8
ABACA,0,1,0,2,0
ABACI,0,1,0,2,8
ABACK,0,1,0,2,10
ABACS,0,1,0,2,18
ABAFT,0,1,0,5,19
ABAKA,0,1,0,10,0
ABAMP,0,1,0,12,15
ABAND,0,1,0,13,3
ABASE,0,1,0,18,4
ABASH,0,1,0,18,7
ABASK,0,1,0,18,10
ABATE,0,1,0,19,4
ABAYA,0,1,0,24,0
ABBAS,0,1,1,0,18
ABBED,0,1,1,4,3
ABBES,0,1,1,4,18
ABBEY,0,1,1,4,24
ABBOT,0,1,1,14,19
ABCEE,0,1,2,4,4
ABEAM,0,1,4,0,12
ABEAR,0,1,4,0,17
ABELE,0,1,4,11,4
ABERS,0,1,4,17,18
ABETS,0,1,4,19,18
ABHOR,0,1,7,14,17
ABIDE,0,1,8,3,4
ABIES,0,1,8,4,18
ABLED,0,1,11,4,3
ABLER,0,1,11,4,17
ABLES,0,1,11,4,18
ABLET,0,1,11,4,19
ABLOW,0,1,11,14,22
ABMHO,0,1,12,7,14
ABODE,0,1,14,3,4
ABOHM,0,1,14,7,12
ABOIL,0,1,14,8,11
ABOMA,0,1,14,12,0
ABOON,0,1,14,14,13
ABORD,0,1,14,17,3
ABORE,0,1,14,17,4
ABORT,0,1,14,17,19
ABOUT,0,1,14,20,19
ABOVE,0,1,14,21,4
ABRAM,0,1,17,0,12
ABRAY,0,1,17,0,24
ABRIM,0,1,17,8,12
ABRIN,0,1,17,8,13
ABRIS,0,1,17,8,18
ABSEY,0,1,18,4,24
ABSIT,0,1,18,8,19
ABUNA,0,1,20,13,0
ABUNE,0,1,20,13,4
ABUSE,0,1,20,18,4
ABUTS,0,1,20,19,18
ABUZZ,0,1,20,25,25
ABYES,0,1,24,4,18
ABYSM,0,1,24,18,12
ABYSS,0,1,24,18,18
ACAIS,0,2,0,8,18
ACARI,0,2,0,17,8
ACCAS,0,2,2,0,18
ACCOY,0,2,2,14,24
ACERB,0,2,4,17,1
ACERS,0,2,4,17,18
ACETA,0,2,4,19,0
ACHAR,0,2,7,0,17
ACHED,0,2,7,4,3
ACHES,0,2,7,4,18
ACHOO,0,2,7,14,14
ACIDS,0,2,8,3,18
ACIDY,0,2,8,3,24
ACING,0,2,8,13,6
ACINI,0,2,8,13,8
ACKEE,0,2,10,4,4
ACKER,0,2,10,4,17
ACMES,0,2,12,4,18
ACMIC,0,2,12,8,2
ACNED,0,2,13,4,3
ACNES,0,2,13,4,18
ACOCK,0,2,14,2,10
ACOLD,0,2,14,11,3
ACORN,0,2,14,17,13
ACRED,0,2,17,4,3
ACRES,0,2,17,4,18
ACRID,0,2,17,8,3
ACROS,0,2,17,14,18
ACTED,0,2,19,4,3
ACTIN,0,2,19,8,13
ACTON,0,2,19,14,13
ACTOR,0,2,19,14,17
ACUTE,0,2,20,19,4
ACYLS,0,2,24,11,18
ADAGE,0,3,0,6,4
ADAPT,0,3,0,15,19
ADAWS,0,3,0,22,18
ADAYS,0,3,0,24,18
ADBOT,0,3,1,14,19
ADDAX,0,3,3,0,23
ADDED,0,3,3,4,3
ADDER,0,3,3,4,17
ADDIO,0,3,3,8,14
ADDLE,0,3,3,11,4
ADEEM,0,3,4,4,12
ADEPT,0,3,4,15,19
ADHAN,0,3,7,0,13
ADIEU,0,3,8,4,20
ADIOS,0,3,8,14,18
ADITS,0,3,8,19,18
ADMAN,0,3,12,0,13
ADMEN,0,3,12,4,13
ADMIN,0,3,12,8,13
ADMIT,0,3,12,8,19
ADMIX,0,3,12,8,23
ADOBE,0,3,14,1,4
ADOBO,0,3,14,1,14
ADOPT,0,3,14,15,19
ADORE,0,3,14,17,4
ADORN,0,3,14,17,13
ADOWN,0,3,14,22,13
ADOZE,0,3,14,25,4
ADRAD,0,3,17,0,3
ADRED,0,3,17,4,3
ADSUM,0,3,18,20,12
ADUKI,0,3,20,10,8
ADULT,0,3,20,11,19
ADUNC,0,3,20,13,2
ADUST,0,3,20,18,19
ADVEW,0,3,21,4,22
ADYTA,0,3,24,19,0
ADZED,0,3,25,4,3
ADZES,0,3,25,4,18
AECIA,0,4,2,8,0
AEDES,0,4,3,4,18
AEGIS,0,4,6,8,18
AEONS,0,4,14,13,18
AERIE,0,4,17,8,4
AEROS,0,4,17,14,18
AESIR,0,4,18,8,17
AFALD,0,5,0,11,3
AFARA,0,5,0,17,0
AFARS,0,5,0,17,18
AFEAR,0,5,4,0,17
AFFIX,0,5,5,8,23
AFIRE,0,5,8,17,4
AFLAJ,0,5,11,0,9
AFOOT,0,5,14,14,19
AFORE,0,5,14,17,4
AFOUL,0,5,14,20,11
AFRIT,0,5,17,8,19
AFROS,0,5,17,14,18
AFTER,0,5,19,4,17
AGAIN,0,6,0,8,13
AGAMA,0,6,0,12,0
AGAMI,0,6,0,12,8
AGAPE,0,6,0,15,4
AGARS,0,6,0,17,18
AGAST,0,6,0,18,19
AGATE,0,6,0,19,4
AGAVE,0,6,0,21,4
AGAZE,0,6,0,25,4
AGENE,0,6,4,13,4
AGENT,0,6,4,13,19
AGERS,0,6,4,17,18
AGGER,0,6,6,4,17
AGGIE,0,6,6,8,4
AGGRI,0,6,6,17,8
AGGRO,0,6,6,17,14
AGGRY,0,6,6,17,24
AGHAS,0,6,7,0,18
AGILA,0,6,8,11,0
AGILE,0,6,8,11,4
AGING,0,6,8,13,6
AGIOS,0,6,8,14,18
AGISM,0,6,8,18,12
AGIST,0,6,8,18,19
AGITA,0,6,8,19,0
AGLEE,0,6,11,4,4
AGLET,0,6,11,4,19
AGLEY,0,6,11,4,24
AGLOO,0,6,11,14,14
AGLOW,0,6,11,14,22
AGLUS,0,6,11,20,18
AGMAS,0,6,12,0,18
AGOGE,0,6,14,6,4
AGONE,0,6,14,13,4
AGONS,0,6,14,13,18
AGONY,0,6,14,13,24
AGOOD,0,6,14,14,3
AGORA,0,6,14,17,0
AGREE,0,6,17,4,4
AGRIA,0,6,17,8,0
AGRIN,0,6,17,8,13
AGROS,0,6,17,14,18
AGUED,0,6,20,4,3
AGUES,0,6,20,4,18
AGUNA,0,6,20,13,0
AGUTI,0,6,20,19,8
AHEAD,0,7,4,0,3
AHEAP,0,7,4,0,15
AHENT,0,7,4,13,19
AHIGH,0,7,8,6,7
AHIND,0,7,8,13,3
AHING,0,7,8,13,6
AHINT,0,7,8,13,19
AHOLD,0,7,14,11,3
AHULL,0,7,20,11,11
AHURU,0,7,20,17,20
AIDAS,0,8,3,0,18
AIDED,0,8,3,4,3
AIDER,0,8,3,4,17
AIDES,0,8,3,4,18
AIDOI,0,8,3,14,8
AIDOS,0,8,3,14,18
AIERY,0,8,4,17,24
AIGAS,0,8,6,0,18
AIGHT,0,8,6,7,19
AILED,0,8,11,4,3
AIMED,0,8,12,4,3
AIMER,0,8,12,4,17
AINEE,0,8,13,4,4
AINGA,0,8,13,6,0
AIOLI,0,8,14,11,8
AIRED,0,8,17,4,3
AIRER,0,8,17,4,17
AIRNS,0,8,17,13,18
AIRTH,0,8,17,19,7
AIRTS,0,8,17,19,18
AISLE,0,8,18,11,4
AITCH,0,8,19,2,7
AITUS,0,8,19,20,18
AIVER,0,8,21,4,17
AIYEE,0,8,24,4,4
AIZLE,0,8,25,11,4
AJIES,0,9,8,4,18
AJIVA,0,9,8,21,0
AJUGA,0,9,20,6,0
AJWAN,0,9,22,0,13
AKEES,0,10,4,4,18
AKELA,0,10,4,11,0
AKENE,0,10,4,13,4
AKING,0,10,8,13,6
AKITA,0,10,8,19,0
AKKAS,0,10,10,0,18
ALAAP,0,11,0,0,15
ALACK,0,11,0,2,10
ALAMO,0,11,0,12,14
ALAND,0,11,0,13,3
ALANE,0,11,0,13,4
ALANG,0,11,0,13,6
ALANS,0,11,0,13,18
ALANT,0,11,0,13,19
ALAPA,0,11,0,15,0
ALAPS,0,11,0,15,18
ALARM,0,11,0,17,12
ALARY,0,11,0,17,24
ALATE,0,11,0,19,4
ALAYS,0,11,0,24,18
ALBAS,0,11,1,0,18
ALBEE,0,11,1,4,4
ALBUM,0,11,1,20,12
ALCID,0,11,2,8,3
ALCOS,0,11,2,14,18
ALDEA,0,11,3,4,0
ALDER,0,11,3,4,17
ALDOL,0,11,3,14,11
ALECK,0,11,4,2,10
ALECS,0,11,4,2,18
ALEFS,0,11,4,5,18
ALEFT,0,11,4,5,19
ALEPH,0,11,4,15,7
ALERT,0,11,4,17,19
ALEWS,0,11,4,22,18
ALEYE,0,11,4,24,4
ALFAS,0,11,5,0,18
ALGAE,0,11,6,0,4
ALGAL,0,11,6,0,11
ALGAS,0,11,6,0,18
ALGID,0,11,6,8,3
ALGIN,0,11,6,8,13
ALGOR,0,11,6,14,17
ALGUM,0,11,6,20,12
ALIAS,0,11,8,0,18
ALIBI,0,11,8,1,8
ALIEN,0,11,8,4,13
ALIFS,0,11,8,5,18
ALIGN,0,11,8,6,13
ALIKE,0,11,8,10,4
ALINE,0,11,8,13,4
ALIST,0,11,8,18,19
ALIVE,0,11,8,21,4
ALIYA,0,11,8,24,0
ALKIE,0,11,10,8,4
ALKOS,0,11,10,14,18
ALKYD,0,11,10,24,3
ALKYL,0,11,10,24,11
ALLAY,0,11,11,0,24
ALLEE,0,11,11,4,4
ALLEL,0,11,11,4,11
ALLEY,0,11,11,4,24
ALLIS,0,11,11,8,18
ALLOD,0,11,11,14,3
ALLOT,0,11,11,14,19
ALLOW,0,11,11,14,22
ALLOY,0,11,11,14,24
ALLYL,0,11,11,24,11
ALMAH,0,11,12,0,7
ALMAS,0,11,12,0,18
ALMEH,0,11,12,4,7
ALMES,0,11,12,4,18
ALMUD,0,11,12,20,3
ALMUG,0,11,12,20,6
ALODS,0,11,14,3,18
ALOED,0,11,14,4,3
ALOES,0,11,14,4,18
ALOFT,0,11,14,5,19
ALOHA,0,11,14,7,0
ALOIN,0,11,14,8,13
ALONE,0,11,14,13,4
ALONG,0,11,14,13,6
ALOOF,0,11,14,14,5
ALOOS,0,11,14,14,18
ALOUD,0,11,14,20,3
ALOWE,0,11,14,22,4
ALPHA,0,11,15,7,0
ALTAR,0,11,19,0,17
ALTER,0,11,19,4,17
ALTHO,0,11,19,7,14
ALTOS,0,11,19,14,18
ALULA,0,11,20,11,0
ALUMS,0,11,20,12,18
ALURE,0,11,20,17,4
ALVAR,0,11,21,0,17
ALWAY,0,11,22,0,24
AMAHS,0,12,0,7,18
AMAIN,0,12,0,8,13
AMASS,0,12,0,18,18
AMATE,0,12,0,19,4
AMAUT,0,12,0,20,19
AMAZE,0,12,0,25,4
AMBAN,0,12,1,0,13
AMBER,0,12,1,4,17
AMBIT,0,12,1,8,19
AMBLE,0,12,1,11,4
AMBOS,0,12,1,14,18
AMBRY,0,12,1,17,24
AMEBA,0,12,4,1,0
AMEER,0,12,4,4,17
AMEND,0,12,4,13,3
AMENE,0,12,4,13,4
AMENS,0,12,4,13,18
AMENT,0,12,4,13,19
AMIAS,0,12,8,0,18
AMICE,0,12,8,2,4
AMICI,0,12,8,2,8
AMIDE,0,12,8,3,4
AMIDO,0,12,8,3,14
AMIDS,0,12,8,3,18
AMIES,0,12,8,4,18
AMIGA,0,12,8,6,0
AMIGO,0,12,8,6,14
AMINE,0,12,8,13,4
AMINO,0,12,8,13,14
AMINS,0,12,8,13,18
AMIRS,0,12,8,17,18
AMISS,0,12,8,18,18
AMITY,0,12,8,19,24
AMLAS,0,12,11,0,18
AMMAN,0,12,12,0,13
AMMON,0,12,12,14,13
AMMOS,0,12,12,14,18
AMNIA,0,12,13,8,0
AMNIC,0,12,13,8,2
AMNIO,0,12,13,8,14
AMOKS,0,12,14,10,18
AMOLE,0,12,14,11,4
AMONG,0,12,14,13,6
AMORT,0,12,14,17,19
AMOUR,0,12,14,20,17
AMOVE,0,12,14,21,4
AMOWT,0,12,14,22,19
AMPED,0,12,15,4,3
AMPLE,0,12,15,11,4
AMPLY,0,12,15,11,24
AMPUL,0,12,15,20,11
AMRIT,0,12,17,8,19
AMUCK,0,12,20,2,10
AMUSE,0,12,20,18,4
AMYLS,0,12,24,11,18
ANANA,0,13,0,13,0
ANATA,0,13,0,19,0
ANCHO,0,13,2,7,14
ANCLE,0,13,2,11,4
ANCON,0,13,2,14,13
ANDRO,0,13,3,17,14
ANEAR,0,13,4,0,17
ANELE,0,13,4,11,4
ANENT,0,13,4,13,19
ANGAS,0,13,6,0,18
ANGEL,0,13,6,4,11
ANGER,0,13,6,4,17
ANGLE,0,13,6,11,4
ANGLO,0,13,6,11,14
ANGRY,0,13,6,17,24
ANGST,0,13,6,18,19
ANIGH,0,13,8,6,7
ANILE,0,13,8,11,4
ANILS,0,13,8,11,18
ANIMA,0,13,8,12,0
ANIME,0,13,8,12,4
ANIMI,0,13,8,12,8
ANION,0,13,8,14,13
ANISE,0,13,8,18,4
ANKER,0,13,10,4,17
ANKHS,0,13,10,7,18
ANKLE,0,13,10,11,4
ANKUS,0,13,10,20,18
ANLAS,0,13,11,0,18
ANNAL,0,13,13,0,11
ANNAS,0,13,13,0,18
ANNAT,0,13,13,0,19
ANNEX,0,13,13,4,23
ANNOY,0,13,13,14,24
ANNUL,0,13,13,20,11
ANOAS,0,13,14,0,18
ANODE,0,13,14,3,4
ANOLE,0,13,14,11,4
ANOMY,0,13,14,12,24
ANSAE,0,13,18,0,4
ANTAE,0,13,19,0,4
ANTAR,0,13,19,0,17
ANTAS,0,13,19,0,18
ANTED,0,13,19,4,3
ANTES,0,13,19,4,18
ANTIC,0,13,19,8,2
ANTIS,0,13,19,8,18
ANTRA,0,13,19,17,0
ANTRE,0,13,19,17,4
ANTSY,0,13,19,18,24
ANURA,0,13,20,17,0
ANVIL,0,13,21,8,11
ANYON,0,13,24,14,13
AORTA,0,14,17,19,0
APACE,0,15,0,2,4
APAGE,0,15,0,6,4
APAID,0,15,0,8,3
APART,0,15,0,17,19
APAYD,0,15,0,24,3
APAYS,0,15,0,24,18
APEAK,0,15,4,0,10
APEEK,0,15,4,4,10
APERS,0,15,4,17,18
APERT,0,15,4,17,19
APERY,0,15,4,17,24
APGAR,0,15,6,0,17
APHID,0,15,7,8,3
APHIS,0,15,7,8,18
APIAN,0,15,8,0,13
APING,0,15,8,13,6
APIOL,0,15,8,14,11
APISH,0,15,8,18,7
APISM,0,15,8,18,12
APNEA,0,15,13,4,0
APODE,0,15,14,3,4
APODS,0,15,14,3,18
APOOP,0,15,14,14,15
APORT,0,15,14,17,19
APPAL,0,15,15,0,11
APPAY,0,15,15,0,24
APPEL,0,15,15,4,11
APPLE,0,15,15,11,4
APPLY,0,15,15,11,24
APPRO,0,15,15,17,14
APPUI,0,15,15,20,8
APPUY,0,15,15,20,24
APRES,0,15,17,4,18
APRON,0,15,17,14,13
APSES,0,15,18,4,18
APSIS,0,15,18,8,18
APSOS,0,15,18,14,18
APTED,0,15,19,4,3
APTER,0,15,19,4,17
APTLY,0,15,19,11,24
AQUAE,0,16,20,0,4
AQUAS,0,16,20,0,18
ARABA,0,17,0,1,0
ARAKS,0,17,0,10,18
ARAME,0,17,0,12,4
ARARS,0,17,0,17,18
ARBAS,0,17,1,0,18
ARBOR,0,17,1,14,17
ARCED,0,17,2,4,3
ARCHI,0,17,2,7,8
ARCOS,0,17,2,14,18
ARCUS,0,17,2,20,18
ARDEB,0,17,3,4,1
ARDOR,0,17,3,14,17
ARDRI,0,17,3,17,8
AREAD,0,17,4,0,3
AREAE,0,17,4,0,4
AREAL,0,17,4,0,11
AREAR,0,17,4,0,17
AREAS,0,17,4,0,18
ARECA,0,17,4,2,0
AREDD,0,17,4,3,3
AREDE,0,17,4,3,4
AREFY,0,17,4,5,24
AREIC,0,17,4,8,2
ARENA,0,17,4,13,0
ARENE,0,17,4,13,4
AREPA,0,17,4,15,0
ARERE,0,17,4,17,4
ARETE,0,17,4,19,4
ARETS,0,17,4,19,18
ARETT,0,17,4,19,19
ARGAL,0,17,6,0,11
ARGAN,0,17,6,0,13
ARGIL,0,17,6,8,11
ARGLE,0,17,6,11,4
ARGOL,0,17,6,14,11
ARGON,0,17,6,14,13
ARGOT,0,17,6,14,19
ARGUE,0,17,6,20,4
ARGUS,0,17,6,20,18
ARHAT,0,17,7,0,19
ARIAS,0,17,8,0,18
ARIEL,0,17,8,4,11
ARIKI,0,17,8,10,8
ARILS,0,17,8,11,18
ARIOT,0,17,8,14,19
ARISE,0,17,8,18,4
ARISH,0,17,8,18,7
ARKED,0,17,10,4,3
ARLED,0,17,11,4,3
ARLES,0,17,11,4,18
ARMED,0,17,12,4,3
ARMER,0,17,12,4,17
ARMET,0,17,12,4,19
ARMIL,0,17,12,8,11
ARMOR,0,17,12,14,17
ARNAS,0,17,13,0,18
ARNUT,0,17,13,20,19
AROBA,0,17,14,1,0
AROHA,0,17,14,7,0
AROID,0,17,14,8,3
AROMA,0,17,14,12,0
AROSE,0,17,14,18,4
ARPAS,0,17,15,0,18
ARPEN,0,17,15,4,13
ARRAH,0,17,17,0,7
ARRAS,0,17,17,0,18
ARRAY,0,17,17,0,24
ARRET,0,17,17,4,19
ARRIS,0,17,17,8,18
ARROW,0,17,17,14,22
ARROZ,0,17,17,14,25
ARSED,0,17,18,4,3
ARSES,0,17,18,4,18
ARSEY,0,17,18,4,24
ARSIS,0,17,18,8,18
ARSON,0,17,18,14,13
ARTAL,0,17,19,0,11
ARTEL,0,17,19,4,11
ARTIC,0,17,19,8,2
ARTIS,0,17,19,8,18
ARTSY,0,17,19,18,24
ARUHE,0,17,20,7,4
ARUMS,0,17,20,12,18
ARVAL,0,17,21,0,11
ARVEE,0,17,21,4,4
ARVOS,0,17,21,14,18
ARYLS,0,17,24,11,18
ASANA,0,18,0,13,0
ASCON,0,18,2,14,13
ASCOT,0,18,2,14,19
ASCUS,0,18,2,20,18
ASDIC,0,18,3,8,2
ASHED,0,18,7,4,3
ASHEN,0,18,7,4,13
ASHES,0,18,7,4,18
ASHET,0,18,7,4,19
ASIDE,0,18,8,3,4
ASKED,0,18,10,4,3
ASKER,0,18,10,4,17
ASKEW,0,18,10,4,22
ASKOI,0,18,10,14,8
ASKOS,0,18,10,14,18
ASPEN,0,18,15,4,13
ASPER,0,18,15,4,17
ASPIC,0,18,15,8,2
ASPIE,0,18,15,8,4
ASPIS,0,18,15,8,18
ASPRO,0,18,15,17,14
ASSAI,0,18,18,0,8
ASSAM,0,18,18,0,12
ASSAY,0,18,18,0,24
ASSES,0,18,18,4,18
ASSET,0,18,18,4,19
ASSEZ,0,18,18,4,25
ASSOT,0,18,18,14,19
ASTER,0,18,19,4,17
ASTIR,0,18,19,8,17
ASTUN,0,18,19,20,13
ASURA,0,18,20,17,0
ASWAY,0,18,22,0,24
ASWIM,0,18,22,8,12
ASYLA,0,18,24,11,0
ATAPS,0,19,0,15,18
ATAXY,0,19,0,23,24
ATIGI,0,19,8,6,8
ATILT,0,19,8,11,19
ATIMY,0,19,8,12,24
ATLAS,0,19,11,0,18
ATMAN,0,19,12,0,13
ATMAS,0,19,12,0,18
ATMOS,0,19,12,14,18
ATOCS,0,19,14,2,18
ATOKE,0,19,14,10,4
ATOKS,0,19,14,10,18
ATOLL,0,19,14,11,11
ATOMS,0,19,14,12,18
ATOMY,0,19,14,12,24
ATONE,0,19,14,13,4
ATONY,0,19,14,13,24
ATOPY,0,19,14,15,24
ATRIA,0,19,17,8,0
ATRIP,0,19,17,8,15
ATTAP,0,19,19,0,15
ATTAR,0,19,19,0,17
ATTIC,0,19,19,8,2
ATUAS,0,19,20,0,18
AUDAD,0,20,3,0,3
AUDIO,0,20,3,8,14
AUDIT,0,20,3,8,19
AUGER,0,20,6,4,17
AUGHT,0,20,6,7,19
AUGUR,0,20,6,20,17
AULAS,0,20,11,0,18
AULIC,0,20,11,8,2
AULOI,0,20,11,14,8
AULOS,0,20,11,14,18
AUMIL,0,20,12,8,11
AUNES,0,20,13,4,18
AUNTS,0,20,13,19,18
AUNTY,0,20,13,19,24
AURAE,0,20,17,0,4
AURAL,0,20,17,0,11
AURAR,0,20,17,0,17
AURAS,0,20,17,0,18
AUREI,0,20,17,4,8
AURES,0,20,17,4,18
AURIC,0,20,17,8,2
AURIS,0,20,17,8,18
AURUM,0,20,17,20,12
AUTOS,0,20,19,14,18
AUXIN,0,20,23,8,13
AVAIL,0,21,0,8,11
AVALE,0,21,0,11,4
AVANT,0,21,0,13,19
AVAST,0,21,0,18,19
AVELS,0,21,4,11,18
AVENS,0,21,4,13,18
AVERS,0,21,4,17,18
AVERT,0,21,4,17,19
AVGAS,0,21,6,0,18
AVIAN,0,21,8,0,13
AVINE,0,21,8,13,4
AVION,0,21,8,14,13
AVISE,0,21,8,18,4
AVISO,0,21,8,18,14
AVIZE,0,21,8,25,4
AVOID,0,21,14,8,3
AVOWS,0,21,14,22,18
AVYZE,0,21,24,25,4
AWAIT,0,22,0,8,19
AWAKE,0,22,0,10,4
AWARD,0,22,0,17,3
AWARE,0,22,0,17,4
AWARN,0,22,0,17,13
AWASH,0,22,0,18,7
AWATO,0,22,0,19,14
AWAVE,0,22,0,21,4
AWAYS,0,22,0,24,18
AWDLS,0,22,3,11,18
AWEEL,0,22,4,4,11
AWETO,0,22,4,19,14
AWFUL,0,22,5,20,11
AWING,0,22,8,13,6
AWMRY,0,22,12,17,24
AWNED,0,22,13,4,3
AWNER,0,22,13,4,17
AWOKE,0,22,14,10,4
AWOLS,0,22,14,11,18
AWORK,0,22,14,17,10
AXELS,0,23,4,11,18
AXIAL,0,23,8,0,11
AXILE,0,23,8,11,4
AXILS,0,23,8,11,18
AXING,0,23,8,13,6
AXIOM,0,23,8,14,12
AXION,0,23,8,14,13
AXITE,0,23,8,19,4
AXLED,0,23,11,4,3
AXLES,0,23,11,4,18
AXMAN,0,23,12,0,13
AXMEN,0,23,12,4,13
AXOID,0,23,14,8,3
AXONE,0,23,14,13,4
AXONS,0,23,14,13,18
AYAHS,0,24,0,7,18
AYAYA,0,24,0,24,0
AYELP,0,24,4,11,15
AYGRE,0,24,6,17,4
AYINS,0,24,8,13,18
AYONT,0,24,14,13,19
AYRES,0,24,17,4,18
AYRIE,0,24,17,8,4
AZANS,0,25,0,13,18
AZIDE,0,25,8,3,4
AZIDO,0,25,8,3,14
AZINE,0,25,8,13,4
AZLON,0,25,11,14,13
AZOIC,0,25,14,8,2
AZOLE,0,25,14,11,4
AZONS,0,25,14,13,18
AZOTE,0,25,14,19,4
AZOTH,0,25,14,19,7
AZUKI,0,25,20,10,8
AZURE,0,25,20,17,4
AZURN,0,25,20,17,13
AZURY,0,25,20,17,24
AZYGY,0,25,24,6,24
AZYME,0,25,24,12,4
AZYMS,0,25,24,12,18
BAAED,1,0,0,4,3
BAALS,1,0,0,11,18
BABAS,1,0,1,0,18
BABEL,1,0,1,4,11
BABES,1,0,1,4,18
BABKA,1,0,1,10,0
BABOO,1,0,1,14,14
BABUL,1,0,1,20,11
BABUS,1,0,1,20,18
BACCA,1,0,2,2,0
BACCO,1,0,2,2,14
BACCY,1,0,2,2,24
BACHA,1,0,2,7,0
BACHS,1,0,2,7,18
BACKS,1,0,2,10,18
BACON,1,0,2,14,13
BADDY,1,0,3,3,24
BADGE,1,0,3,6,4
BADLY,1,0,3,11,24
BAELS,1,0,4,11,18
BAFFS,1,0,5,5,18
BAFFY,1,0,5,5,24
BAFTS,1,0,5,19,18
BAGEL,1,0,6,4,11
BAGGY,1,0,6,6,24
BAGHS,1,0,6,7,18
BAGIE,1,0,6,8,4
BAHTS,1,0,7,19,18
BAHUS,1,0,7,20,18
BAHUT,1,0,7,20,19
BAILS,1,0,8,11,18
BAIRN,1,0,8,17,13
BAISA,1,0,8,18,0
BAITH,1,0,8,19,7
BAITS,1,0,8,19,18
BAIZA,1,0,8,25,0
BAIZE,1,0,8,25,4
BAJAN,1,0,9,0,13
BAJRA,1,0,9,17,0
BAJRI,1,0,9,17,8
BAJUS,1,0,9,20,18
BAKED,1,0,10,4,3
BAKEN,1,0,10,4,13
BAKER,1,0,10,4,17
BAKES,1,0,10,4,18
BAKRA,1,0,10,17,0
BALAS,1,0,11,0,18
BALDS,1,0,11,3,18
BALDY,1,0,11,3,24
BALED,1,0,11,4,3
BALER,1,0,11,4,17
BALES,1,0,11,4,18
BALKS,1,0,11,10,18
BALKY,1,0,11,10,24
BALLS,1,0,11,11,18
BALLY,1,0,11,11,24
BALMS,1,0,11,12,18
BALMY,1,0,11,12,24
BALOO,1,0,11,14,14
BALSA,1,0,11,18,0
BALTI,1,0,11,19,8
BALUN,1,0,11,20,13
BALUS,1,0,11,20,18
BAMBI,1,0,12,1,8
BANAK,1,0,13,0,10
BANAL,1,0,13,0,11
BANCO,1,0,13,2,14
BANCS,1,0,13,2,18
BANDA,1,0,13,3,0
BANDH,1,0,13,3,7
BANDS,1,0,13,3,18
BANDY,1,0,13,3,24
BANED,1,0,13,4,3
BANES,1,0,13,4,18
BANGS,1,0,13,6,18
BANIA,1,0,13,8,0
BANJO,1,0,13,9,14
BANKS,1,0,13,10,18
BANNS,1,0,13,13,18
BANTS,1,0,13,19,18
BANTU,1,0,13,19,20
BANTY,1,0,13,19,24
BANYA,1,0,13,24,0
BAPUS,1,0,15,20,18
BARBE,1,0,17,1,4
BARBS,1,0,17,1,18
BARBY,1,0,17,1,24
BARCA,1,0,17,2,0
BARDE,1,0,17,3,4
BARDO,1,0,17,3,14
BARDS,1,0,17,3,18
BARDY,1,0,17,3,24
BARED,1,0,17,4,3
BARER,1,0,17,4,17
BARES,1,0,17,4,18
BARFI,1,0,17,5,8
BARFS,1,0,17,5,18
BARGE,1,0,17,6,4
BARIC,1,0,17,8,2
BARKS,1,0,17,10,18
BARKY,1,0,17,10,24
BARMS,1,0,17,12,18
BARMY,1,0,17,12,24
BARNS,1,0,17,13,18
BARNY,1,0,17,13,24
BARON,1,0,17,14,13
BARPS,1,0,17,15,18
BARRA,1,0,17,17,0
BARRE,1,0,17,17,4
BARRO,1,0,17,17,14
BARRY,1,0,17,17,24
BARYE,1,0,17,24,4
BASAL,1,0,18,0,11
BASAN,1,0,18,0,13
BASED,1,0,18,4,3
BASEN,1,0,18,4,13
BASER,1,0,18,4,17
BASES,1,0,18,4,18
BASHO,1,0,18,7,14
BASIC,1,0,18,8,2
BASIJ,1,0,18,8,9
BASIL,1,0,18,8,11
BASIN,1,0,18,8,13
BASIS,1,0,18,8,18
BASKS,1,0,18,10,18
BASON,1,0,18,14,13
BASSE,1,0,18,18,4
BASSI,1,0,18,18,8
BASSO,1,0,18,18,14
BASSY,1,0,18,18,24
BASTA,1,0,18,19,0
BASTE,1,0,18,19,4
BASTI,1,0,18,19,8
BASTO,1,0,18,19,14
BASTS,1,0,18,19,18
BATCH,1,0,19,2,7
BATED,1,0,19,4,3
BATES,1,0,19,4,18
BATHE,1,0,19,7,4
BATHS,1,0,19,7,18
BATIK,1,0,19,8,10
BATON,1,0,19,14,13
BATTA,1,0,19,19,0
BATTS,1,0,19,19,18
BATTU,1,0,19,19,20
BATTY,1,0,19,19,24
BAUDS,1,0,20,3,18
BAUKS,1,0,20,10,18
BAULK,1,0,20,11,10
BAURS,1,0,20,17,18
BAVIN,1,0,21,8,13
BAWDS,1,0,22,3,18
BAWDY,1,0,22,3,24
BAWKS,1,0,22,10,18
BAWLS,1,0,22,11,18
BAWNS,1,0,22,13,18
BAWRS,1,0,22,17,18
BAWTY,1,0,22,19,24
BAYED,1,0,24,4,3
BAYER,1,0,24,4,17
BAYES,1,0,24,4,18
BAYLE,1,0,24,11,4
BAYOU,1,0,24,14,20
BAYTS,1,0,24,19,18
BAZAR,1,0,25,0,17
BAZOO,1,0,25,14,14
BEACH,1,4,0,2,7
BEADS,1,4,0,3,18
BEADY,1,4,0,3,24
